time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1684473782.87800598,0.02296662,1380,0.00269527,0.00000000,0,0.00000000,1097,1778,820,0.00000000
1684473782.97792435,0.01718854,1415,0.00231622,0.00000000,0,0.00000000,1778,2307,688,0.00108345
1684473783.07793689,0.01814668,1343,0.00238151,0.00000000,0,0.00000000,2307,2739,606,0.00048967
1684473783.17809439,0.02592081,1433,0.00249719,0.00000000,0,0.00000000,2739,3007,525,0.00132238
1684473783.27784419,0.01853210,1406,0.00270919,0.00000000,0,0.00000000,3007,3312,524,0.00054409
1684473783.37791824,0.02360763,1429,0.00275932,0.00000000,0,0.00000000,3312,3556,449,0.00062525
1684473783.47762489,0.01951180,1388,0.00154766,0.00000000,0,0.00000000,3556,3806,348,0.00058728
1684473783.57769990,0.02110923,1405,0.00155306,0.00000000,0,0.00000000,3806,4044,378,0.00134714
1684473783.67765188,0.02380619,1417,0.00192536,0.00000000,0,0.00000000,4044,4202,379,0.00038958
1684473783.77770615,0.02259757,1387,0.00152625,0.00000000,0,0.00000000,4202,4435,351,0.00053616
1684473783.87764883,0.02255781,1409,0.00234223,0.00000000,0,0.00000000,4435,4533,353,0.00048142
1684473783.97752976,0.02317150,1421,0.00153035,0.00000000,0,0.00000000,4533,4737,346,0.00052899
1684473784.07759547,0.02299629,1405,0.00166170,0.00000000,0,0.00000000,4737,4864,308,0.00054611
1684473784.17750430,0.01921982,1411,0.00213624,0.00000000,0,0.00000000,4864,5062,289,0.00055234
1684473784.27762437,0.01614249,1435,0.00115305,0.00000000,0,0.00000000,4650,4850,252,0.00041635
1684473784.37771440,0.02027236,1405,0.00107465,0.00000000,0,0.00000000,4850,4980,189,0.00049553
1684473784.47928810,0.01834181,1415,0.00112660,0.00000000,0,0.00000000,4980,5152,241,0.00052771
1684473784.57752919,0.01799648,1400,0.00125805,0.00000000,0,0.00000000,5152,5321,262,0.00038363
1684473784.67761135,0.01889912,1389,0.00148275,0.00000000,0,0.00000000,5321,5492,287,0.00037857
1684473784.78639817,0.02412494,1446,0.00126297,0.00000000,0,0.00000000,5492,5629,233,0.00041341
1684473784.87765503,0.02273961,1398,0.00125930,0.00000000,0,0.00000000,5629,5782,230,0.00038609
1684473784.97734714,0.01985994,1427,0.00134004,0.00000000,0,0.00000000,5782,5884,220,0.00038769
1684473785.07798290,0.02058688,1421,0.00160936,0.00000000,0,0.00000000,5884,5961,229,0.00154263
1684473785.17760301,0.01881360,1417,0.00144429,0.00000000,0,0.00000000,5961,6060,224,0.00057173
1684473785.27792931,0.02546673,1397,0.00144720,0.00000000,0,0.00000000,6060,6140,169,0.00037633
1684473785.37752247,0.02278180,1425,0.00103987,0.00000000,0,0.00000000,6140,6202,168,0.00038443
1684473785.47806430,0.02460281,1423,0.00192159,0.00000000,0,0.00000000,6202,6152,190,0.00038996
1684473785.57788014,0.02305851,1432,0.00084956,0.00000000,0,0.00000000,5995,6068,144,0.00040295
1684473785.67876482,0.02056430,1378,0.00110990,0.00000000,0,0.00000000,6068,6117,183,0.00093581
1684473785.77876735,0.02088676,1460,0.00095769,0.00000000,0,0.00000000,6117,6183,152,0.00083801
1684473785.87880659,0.02205277,1398,0.00091358,0.00000000,0,0.00000000,6183,6253,171,0.00057112
1684473785.97869253,0.02019861,1421,0.00136745,0.00000000,0,0.00000000,6253,6321,156,0.00040580
1684473786.07880044,0.02065313,1435,0.00123914,0.00000000,0,0.00000000,6321,6346,164,0.00043999
1684473786.17968440,0.02398130,1408,0.00085148,0.00000000,0,0.00000000,6346,6431,138,0.00048839
1684473786.27859426,0.02054341,1408,0.00107570,0.00000000,0,0.00000000,6431,6475,155,0.00052937
1684473786.37885880,0.01895999,1406,0.00069934,0.00000000,0,0.00000000,6475,6571,129,0.00037768
1684473786.47770190,0.01889268,1402,0.00080679,0.00000000,0,0.00000000,6571,6669,141,0.00038161
1684473786.57912493,0.02355548,1418,0.00151752,0.00000000,0,0.00000000,6669,6652,131,0.00057138
1684473786.67859912,0.02756001,1367,0.00130993,0.00000000,0,0.00000000,6652,6728,166,0.00038967
1684473786.77728462,0.02469276,1471,0.00104151,0.00000000,0,0.00000000,6728,6769,146,0.00039722
